"3";"Рассеивание магии [Dispel magic]";"3 круг, ограждение";"1 действие";"120 футов";"В, С";"Мгновенная";"Выберите одно существо, предмет или магический эффект в пределах дистанции. Все заклинания 3-го уровня и ниже на цели оканчиваются. Для каждого заклинания с уровнем 4 или выше совершите проверку базовой характеристики. Сл равна 10 + уровень заклинания. При успехе это заклинание оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 4-го уровня или выше, вы автоматически оканчиваете эффекты заклинаний на цели, чей уровень не превышает уровень использованной ячейки заклинаний.<br>";"бард"
"7";"Регенерация [Regenerate]";"7 круг, преобразование";"1 минута";"Касание";"В, С, М";"1 час";"(молитвенный барабан и святая вода)Вы касаетесь существа и активируете его врождённые способности к исцелению. Цель восстанавливает 4к8 + 15 хитов. Пока заклинание активно, цель восстанавливает 1 хит в начале каждого своего хода (10 хитов в минуту).<br>
Отсечённые части тела цели (пальцы, ноги, хвосты, и так далее), если они были, восстанавливаются через 2 минуты. Если отсечённая часть тела есть в наличии, и её можно приставить к обрубку, заклинание мгновенно сращивает их.<br>";"бард"
"2";"Речь златоуста [Enthrall]";"2 круг, очарование";"1 действие";"60 футов";"В, С";"1 минута";"Вы произносите отвлекающую речь, заставляя выбранных вами существ, которых вы видите в пределах дистанции, и которые при этом могут слышать вас, совершить спасбросок Мудрости. Существа, которые не могут быть очарованными, автоматически преуспевают в спасброске, и если вы или ваши спутники сражаетесь с существом, оно совершает спасбросок с преимуществом. При провале цель получает помеху к проверкам Мудрости (Восприятие), совершённым для обнаружения других существ кроме вас, пока заклинание активно или пока цель не перестанет вас слышать. Заклинание оканчивается, если вы становитесь недееспособны или теряете возможность говорить.<br>";"бард"
"3";"Рост растений [Plant growth]";"3 круг, преобразование";"1 действие или 8 часов";"150 футов";"В, С";"Мгновенная";"Это заклинание вливает жизненные силы в растения, находящиеся в определённой области. Есть два варианта использования этого заклинания";"бард"
"1";"Сверкающие брызги [Color spray]";"1 круг, иллюзия";"1 действие";"На себя (15-футов конус)";"В, С, М";"1 раунд";"(щепотка порошка или песка, окрашенного в красный, желтый и синий цвет)Из вашей руки вылетают яркие разноцветные лучи. Бросьте 6к10";"бард"
"0";"Свет [Light]";"Трюк, воплощение";"1 действие";"Касание";"В, М";"1 час";"(светлячок или фосфоресцирующий мох)Вы касаетесь одного предмета, длина которого ни по одному из измерений не превышает 10 футов. Пока заклинание активно, предмет испускает яркий свет в радиусе 20 футов и тусклый свет в пределах ещё 20 футов. Свет может быть любого выбранного вами цвета. Полное покрытие предмета чем-то непрозрачным блокирует свет. Заклинание оканчивается, если вы наложите его ещё раз или окончите действием.<br>
Если вы нацелились на предмет, несомый или носимый враждебным существом, это существо должно преуспеть в спасброске Ловкости, чтобы увернуться от заклинания.<br>";"бард"
"4";"Свобода перемещения [Freedom of movement]";"4 круг, ограждение";"1 действие";"Касание";"В, С, М";"1 час";"(кожаный ремешок, обмотанный вокруг предплечья или аналогичной конечности)Вы касаетесь согласного существа. Пока заклинание активно, на перемещения цели не влияет труднопроходимая местность, а заклинания и прочие магические эффекты не могут ни уменьшить её скорость, ни сделать её парализованной или опутанной.<br>
Цель может также потратить 5 футов перемещения, чтобы автоматически высвободиться из немагических оков, таких как кандалы или захват другого существа. Более того, нахождение под водой не накладывает штрафы на перемещение и атаки цели.<br>";"бард"
"5";"Синаптический разряд [Synaptic static]";"5 круг, очарование";"1 действие";"120 футов";"В, С";"Мгновенная";"Вы выбираете точку в пределах дистанции и вызываете в ней взрыв психической энергии. Каждое существо в сфере с радиусом 20 футов с центром в этой точке должно совершить спасбросок Интеллекта. Существа, у которых Интеллект равен 2 или ниже, не попадают под действие этого заклинания. Цель получает 8к6 урона психической энергией при провале или половину этого урона при успехе.<br>
После неудачного спасброска цель начинает путаться в мыслях на протяжении 1 минуты. В течение этого времени она бросает к6 и вычитает получившееся число из всех её бросков атаки и проверок способности, а также из её спасбросков Телосложения на сохранение концентрации. В конце каждого своего хода цель может совершать спасбросок Интеллекта, оканчивая эффект на себе при успехе.<br>";"бард(XGE)"
"1";"Скороход [Longstrider]";"1 круг, преобразование";"1 действие";"Касание";"В, С, М";"1 час";"(щепотка земли)Вы касаетесь существа. Пока заклинание активно, скорость существа увеличивается на 10 футов.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 2 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше первого.<br>";"бард"
"8";"Слабоумие [Feeblemind]";"8 круг, очарование";"1 действие";"150 футов";"В, С, М";"Мгновенная";"(пригоршня глиняных, кристаллических, стеклянных или минеральных шариков)Вы врываетесь в сознание существа, которое видите в пределах дистанции, пытаясь подавить его интеллект и сознание. Цель получает 4к6 урона психической энергией и должна совершить спасбросок Интеллекта.<br>
При провале Интеллект и Харизма существа становятся равны 1. Оно не может накладывать заклинания, активировать магические предметы, понимать языки и вразумительно общаться. Однако существо признаёт друзей, следует за ними, и даже защищает их.<br>
В конце каждых 30 дней существо может повторять спасбросок от этого заклинания. Если оно преуспевает, заклинание оканчивается.<br>
Это заклинание также оканчивается заклинаниями высшее восстановление [greater restoration], исполнение желаний [wish] и полное исцеление [heal].<br>";"бард"
"9";"Слово силы: исцеление [Power word heal]";"9 круг, воплощение";"1 действие";"Касание";"В, С";"Мгновенная";"Волна целительной энергии окутывает существо, которого вы касаетесь. Цель восстанавливает все свои хиты. Если существо испугано, очаровано, ошеломлено или парализовано, это состояние оканчивается. Если существо лежит ничком, оно может реакцией встать. Это заклинание не оказывает никакого эффекта на нежить и конструктов.<br>";"бард"
"8";"Слово силы: оглушение [Power word stun]";"8 круг, очарование";"1 действие";"60 футов";"В";"Мгновенная";"Вы произносите слово силы, способное захлестнуть сознание одного существа, видимого в пределах дистанции, делая его потрясённым. Если у существа не больше 150 хитов, оно становится ошеломлённым. В противном случае это заклинание не оказывает никакого эффекта.<br>
Ошеломлённая цель должна в конце каждого своего хода совершать спасбросок Телосложения. При успехе ошеломление проходит.<br>";"бард"
"9";"Слово силы: смерть [Power word kill]";"9 круг, очарование";"1 действие";"60 футов";"В";"Мгновенная";"Вы произносите слово силы, заставляющее существо, которое вы видите в пределах дистанции, мгновенно умереть. Если у выбранного вами существа 100 хитов или меньше, оно умирает. В противном случае это заклинание не оказывает никакого эффекта.<br>";"бард"
"4";"Смятение [Confusion]";"4 круг, очарование";"1 действие";"90 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(три ореховые скорлупки)Это заклинание атакует и скручивает сознание существ, порождая галлюцинации и провоцируя на необдуманные действия. Все существа в сфере с радиусом 10 футов с центром на точке, выбранной в пределах дистанции, должны преуспеть в спасброске Мудрости, иначе попадут под действие эффекта.<br>
Попавшая под эффект цель не может совершать реакции и должна бросать к10 в начале каждого своего хода, чтобы определить свое поведение в этом ходу.<br>


В конце каждого своего хода цель может совершать спасбросок Мудрости. В случае успеха на этой цели эффект заканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 5-го уровня или выше, радиус сферы увеличивается на 5 футов за каждый уровень ячейки выше четвертого.<br>";"бард"
"8";"Сокрытие разума [Mind blank]";"8 круг, ограждение";"1 действие";"Касание";"В, С";"24 часа";"Пока заклинание активно, одно согласное существо, которого вы касаетесь, получает иммунитет к урону психической энергией, и всем эффектам, которые должны чувствовать его эмоции или читать мысли, заклинаниям школы Прорицания и состоянию очарованности. Это заклинание даже помогает от заклинания исполнение желаний [wish], а также от заклинаний и эффектов аналогичной силы, использованных для воздействия на сознание цели или получение от неё информации.<br>";"бард"
"7";"Сон синей вуали [Dream of the Blue Veil]";"7 круг, вызов";"10 минут";"20 футов";"В, С, М";"6 часов";"(магический предмет или согласное существо из мира назначения)Вы и до восьми согласных существ в пределах дистанции теряете сознание на время действия заклинания и испытываете видения другого мира на Материальном плане, как например Орта, Торила, Кринна или Эберрона. Если заклинание действует в течение полной длительности, то видения приводят к тому, что каждый из вас находит и отодвигает загадочный синий занавес. Заклинание заканчивается тем, что вы ментально и физически переноситесь в мир, который был в видениях.<br>
Чтобы наложить это заклинание, у вас должен быть магический предмет, созданный в мире, в который вы хотите попасть, и вы должны знать о существовании этого мира, даже если вы не знаете его названия. Вы попадаете в безопасное место в пределах 1 мили от того места, где используемый магический предмет был создан. Вы можете наложить заклинание без магического предмета, если одно из существ под действием этого заклинания родилось в том мире. В таком случае пункт назначения будет безопасным местом в пределах 1 мили от того места, где это существо родилось.<br>
Заклинание заканчивается раньше времени для существа, получающего какой-либо урон, и это существо не переносится. Если вы получите какой-либо урон, заклинание закончится для всех существ, и никто не будет перенесён.<br>
<br/>";"бард(TCE)"
"0";"Сообщение [Message]";"Трюк, преобразование";"1 действие";"120 футов";"В, С, М";"1 раунд";"(кусочек медной проволоки)Вы указываете пальцем на существо, находящееся в пределах дистанции, и шепчете послание. Цель (и только цель) слышит его, и может ответить шепотом, который услышите только вы.<br>
Вы можете использовать это заклинание сквозь твердые препятствия, если вы знакомы с целью и знаете, что она находится за барьером. Магическая тишина, 1 фут камня, 1 дюйм обычного металла, тонкий лист свинца или 3 фута дерева блокируют заклинание. Заклинание не обязано идти по прямой линии, и может огибать углы и проходить через отверстия.<br>";"бард"
"6";"Стражи [Guards and wards]";"6 круг, ограждение";"10 минут";"Касание";"В, С, М";"24 часа";"(горящее благовоние, немного серы и масла, завязанная узлом тетива, немного крови бурого увальня и маленький серебряный жезл, стоящий как минимум 10 зм)Вы создаёте защиту, охраняющую 2 500 квадратных футов пола (квадрат с длиной стороны 50 футов, сто клеток 5 × 5 футов или двадцать пять квадратов с длиной стороны 10 футов). Охраняемая область может быть до 20 футов в высоту и может иметь любую форму. Вы можете защитить несколько этажей крепости, поделив их на части, при условии, что во время накладывания этого заклинания вы можете туда попасть.<br>
При накладывании заклинания вы можете указать тех, кто не будет попадать под действие одного или всех выбранных вами эффектов. Вы можете также указать пароль, произношение которого дарует иммунитет к этим эффектам.<br>
Заклинание стражи создаёт в охраняемой местности следующие эффекты:<br>
<b>Двери</b>. Все двери в охраняемой области запираются магией, как если бы они были закрыты заклинанием волшебный замок. Кроме того, вы можете покрыть до десяти дверей иллюзией (эквивалентной функции «иллюзорный предмет» заклинания малая иллюзия), заставляя их выглядеть как гладкая стена.<br>
<b>Коридоры</b>. Коридоры заполняются туманом, делающим местность сильно заслонённой. Кроме того, на каждом перекрёстке или развилке, где есть выбор направления, есть 50% шанс того, что существо (но не вы) будет считать, что идёт в сторону, противоположную той, в которую она на самом деле идёт.<br>
<b>Лестницы</b>. Все лестницы в охраняемой области сверху донизу заполняются паутиной, как от одноимённого заклинания. Нити восстанавливаются через 10 минут, если их сожгут или разрежут, а заклинание стражи ещё активно.<br>
Прочие эффекты заклинания. Вы можете добавить к охраняемой области один из следующих эффектов:<br>

Поместите пляшущие огоньки в четыре коридора. Вы можете задать простую последовательность, которую огоньки будут выполнять, пока активно заклинание стражи. <br>
Поместите волшебные уста в два места. <br>
Поместите зловонное облако в два места. Испарения появляются в указанных вами местах";"бард"
"7";"Таинственный мираж [Mirage arcane]";"7 круг, иллюзия";"10 минут";"В пределах видимости";"В, С";"10 дней";"Вы заставляете местность в пределах 1 квадратной мили выглядеть, звучать, пахнуть и даже ощущаться как другая местность. Общая форма местности остаётся той же самой. Открытые поля и дороги можно сделать похожими на болото, холм, расселину или другую труднопроходимую или непроходимую местность. Пруд можно сделать похожим на травяную лужайку, пропасть сделать пологим склоном, а каменистый овраг — широкой и ровной дорогой.<br>
Точно так же, вы можете изменять внешний облик строений, или создавать их там, где их не было. Это заклинание не маскирует, не скрывает и не добавляет существ.<br>
Иллюзия включает в себя слышимые, видимые, тактильные и обонятельные элементы, так что она может сделать обычную местность труднопроходимой (и наоборот), и как-то иначе препятствовать перемещению. Все части иллюзорной местности (такие как камни и палки), вынесенные за пределы области пространства, мгновенно исчезают.<br>
Существа с истинным зрением могут видеть сквозь иллюзию настоящую местность";"бард"
"7";"Телепортация [Teleport]";"7 круг, вызов";"1 действие";"10 футов";"В";"Мгновенная";"Это заклинание мгновенно переносит вас и до восьми согласных существ на ваш выбор, видимых вами и находящихся в пределах дистанции, или один предмет, видимый в пределах дистанции, в выбранное вами место. Если целью является предмет, он должен полностью помещаться в куб с длиной ребра 10 футов, и его не может носить или нести несогласное существо.<br>
Выбранное место назначения должно быть известно вам, и оно должно находиться на одном плане существования с вами. Ваша ознакомленность с местом назначения определяет, успешным ли будет перемещение. Мастер бросает к100 и сверяется с таблицей.<br>



<b>«Постоянный круг»</b> означает постоянный круг телепортации, последовательность знаков которого вам известна.<br>
<b>«Связанный предмет»</b> означает, что у вас есть предмет, взятый из места назначения не позднее шести месяцев назад, например, книга из библиотеки волшебника, постельное бельё из королевской спальни, или кусок мрамора из потайного склепа лича.<br>
<b>«Очень знакомое»</b> это место, в котором вы часто бываете, место, которое вам довелось изучить, или место, которое вы видите в процессе накладывания заклинания.<br>
<b>«Изредка видимое»</b> это место, которое вы видели несколько раз, но которое вам не очень хорошо известно.<br>
<b>«Виденное один раз»</b> это место, которое вы видели один раз, возможно, при помощи магии.<br>
<b>«Описанное»</b> это место, чьё местоположение и внешний облик вам известно со слов других, возможно, по карте.<br>
<b>«Ложно описанное»</b> это место, которое не существует. Возможно, вы пытались подсмотреть святилище врага, но на самом деле видели иллюзию, или вы пытались телепортироваться в знакомое место, которое больше не существует.<br>

<b>Точно в цель.</b> Вы и ваша группа (или предмет) появляетесь там, где было задумано.<br>
<b>Мимо цели.</b> Вы и ваша группа (или предмет) появляетесь на случайном расстоянии от места назначения в случайном направлении. Расстояние от цели равно (1к10 × 1к10) процентов от расстояния, на которое вы перемещались. Например, если вы пытались перенестись на 120 миль, промахиваетесь мимо цели, и на двух 1к10 у вас выпадает «5» и «3», то вы промахиваетесь мимо цели на 15 процентов, то есть на 18 миль. Мастер определяет направление случайным образом, бросая к8, где «1» означает север, «2» — северо-восток, «3» — восток, и так далее. Если вы телепортировались в город на побережье, и оказываетесь в море на расстоянии 18 миль, вы окажетесь в беде.<br>
<b>Похожее место.</b> Вы и ваша группа (или предмет) оказываетесь в другом месте, визуально или тематически похожем на место назначения. Например, если вы направлялись в свою лабораторию, вы можете оказаться в лаборатории другого волшебника или алхимическом магазине с таким же оборудованием как в вашей лаборатории. Обычно вы появляетесь в ближайшем похожем месте, но так как у заклинания нет ограничений по дистанции, вы можете оказаться где угодно на текущем плане.<br>
<b>Неудача.</b> Непредсказуемая магия заклинания делает перемещение опасным. Все телепортирующиеся существа (или предмет) получают урон силовым полем 3к10, и Мастер совершает новый бросок по таблице, чтобы определить место назначения (возможны несколько неудач, и каждая будет причинять урон).<br>
<br/>";"бард"
"2";"Тишина [Silence]";"2 круг, иллюзия (ритуал)";"1 действие";"120 футов";"В, С";"Концентрация, вплоть до 10 минут";"Пока заклинание активно, никакие звуки не могут раздаться в пределах сферы с радиусом 20 футов с центром на точке, выбранной в пределах дистанции, а также не могут проходить сквозь неё. Все существа и предметы, полностью находящиеся в сфере, получают иммунитет к урону звуком, и существа считаются оглохшими, когда полностью находятся в ней. Там невозможно накладывать заклинания с вербальным компонентом.<br>";"бард"
"2";"Увеличение/уменьшение [Enlarge/reduce]";"2 круг, преобразование";"1 действие";"30 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(щепотка толченого железа)Вы увеличиваете или уменьшаете существо или предмет, видимый вами в пределах дистанции, на время действия заклинания. Выберите или существо или предмет, который никто не несет и не носит. Если цель хочет, она может совершить спасбросок Телосложения. В случае успеха заклинание не оказывает на неё никакого влияния.<br>
Если цель — существо, все, что она носит и несет, изменяет размер вместе с ней. Все, что это существо бросит, тут же обретает свой естественный размер.<br>
<b>Увеличение</b>. Размеры цели удваиваются по всем измерениям, а вес увеличивается в восемь раз. Это увеличивает размер на одну категорию — от Среднего до Большого, например. Если для цели не хватает пространства, она приобретает максимально возможный размер. Пока заклинание активно, цель совершает с преимуществом проверки и спасброски Силы. Оружие цели тоже увеличивается. Атаки увеличенным оружием причиняют дополнительный урон 1к4.<br>
<b>Уменьшение</b>. Размеры цели уменьшаются вдвое по всем измерениям, а вес уменьшается до одной восьмой от обычного. Это уменьшает размер на одну категорию — от Среднего до Маленького, например. Пока заклинание активно, цель совершает с помехой проверки и спасброски Силы. Оружие цели тоже уменьшается. Атаки уменьшенным оружием причиняют на 1к4 меньше урона (урон не может быть меньше 1).<br>";"бард (TCE)"
"2";"Увлекательная прогулка [Kinetic Jaunt]";"2 круг, преобразование";"1 бонусное действие";"На себя";"С";"Концентрация, вплоть до 1 минуты";"Вы магическим образом усиливаете свои движение танцевальными шагами, даруя себе следующие преимущества:<br>

Ваша скорость ходьбы увеличивается на 10 футов.<br>
Вы не провоцируете атаки.<br>
Вы можете перемещаться сквозь других существ, как если бы они были труднопроходимой местностью. Если вы оканчивает свой ход в пространстве другого существа, то вас выталкивает в последнее занимаемое вами незанятое пространство и вы получаете 1к8 урона силовым полем.<br>
";"бард"
"2";"Удержание личности [Hold person]";"2 круг, очарование";"1 действие";"60 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(небольшой прямой кусочек железа)Выберите гуманоида, которого видите в пределах дистанции. Цель должна преуспеть в спасброске Мудрости, иначе станет парализованной на период действия заклинания. В конце каждого своего хода цель может совершать новые спасброски Мудрости. В случае успеха заклинание на этой цели оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 3 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше 2. Эти гуманоиды должны находиться в пределах 30 футов друг от друга, когда вы нацеливаетесь на них.<br>";"бард"
"5";"Удержание чудовища [Hold monster]";"5 круг, очарование";"1 действие";"90 футов";"В, С, М";"Концентрация, вплоть до 1 минуты";"(небольшой прямой кусочек железа)Выберите существо, которое видите в пределах дистанции. Цель должна преуспеть в спасброске Мудрости, иначе станет парализованной на период действия заклинания. Это заклинание не оказывает эффекта на нежить. В конце каждого своего хода цель может совершать новые спасброски Мудрости. В случае успеха заклинание на этой цели оканчивается.<br>
<b>На больших уровнях.</b> Если вы накладываете это заклинание, используя ячейку 6 уровня или выше, вы можете сделать целью одно дополнительное существо за каждый уровень ячейки выше пятого. Эти существа должны находиться в пределах 30 футов друг от друга, когда вы нацеливаетесь на них.<br>";"бард"
"3";"Ужас [Fear]";"3 круг, иллюзия";"1 действие";"На себя (30-футов конус)";"В, С, М";"Концентрация, вплоть до 1 минуты";"(белое перо или сердце курицы)Вы проецируете призрачное изображение худших кошмаров других существ. Все существа в 30-футовом конусе должны преуспеть в спасброске Мудрости, иначе они бросают все, что держат в руках, и становятся испуганными на время действия заклинания.<br>
Будучи испуганным этим заклинанием, существо должно каждый свой ход совершать действие Рывок, и перемещаться прочь от вас по самому безопасному маршруту, пока у неё есть куда перемещаться. Если существо оканчивает ход в месте, откуда у него нет линии обзора до вас, оно может совершить спасбросок Мудрости. В случае успешного спасброска заклинание перестает действовать на это существо.<br>";"бард"
"7";"Узилище  [Forcecage]";"7 круг, воплощение";"1 действие";"100 футов";"В, С, М";"1 час";"(порошок рубина, стоящий 1 500 зм)Вокруг области, выбранной вами в пределах дистанции, возникает неподвижная, невидимая тюрьма в форме куба, созданная из магической силы. Тюрьма может быть клеткой или сплошной коробкой, на ваш выбор.<br>
Тюрьма в форме клетки может быть с длиной ребра до 20 футов, и состоит из сантиметровых прутьев (диаметр 1/2 дюйма), отстоящих друг от друга на 1 сантиметр (1/2 дюйма).<br>
Тюрьма в форме коробки может быть с длиной ребра до 10 футов, и она является сплошным барьером, останавливающим любую материю, и блокирующую заклинания, накладываемые как внутрь коробки, так и направленные из неё наружу.<br>
Когда вы накладываете это заклинание, под его действие попадают все существа, находящиеся целиком внутри области. Существа, находящиеся в области лишь частично, или слишком большие для заточения внутри, отталкиваются от центра области, пока не окажутся снаружи.<br>
Существо, находящееся в узилище, не может покинуть его без помощи магии. Если оно пытается использовать телепортацию или перемещение между планами, оно должно вначале преуспеть в спасброске Харизмы. В случае успеха существо может использовать эту магию для выхода из узилища. При провале существо не может покинуть узилище, и тратит впустую использование заклинания или эффект. Узилище простирается и на Эфирный План, запрещая перемещение через него.<br>
Это заклинание нельзя рассеять рассеиванием магии.<br>";"бард"
"2";"Улучшение характеристики [Enhance ability]";"2 круг, преобразование";"1 действие";"Касание";"В, С, М";"Концентрация, вплоть до 1 часа";"(мех или перо зверя)Вы касаетесь существа и улучшаете его при помощи магии. Выберите один из следующих эффектов";"бард"
"2";"Умиротворение  [Calm emotions]";"2 круг, очарование";"1 действие";"60 футов";"В, С";"Концентрация, вплоть до 1 минуты";"Вы пытаетесь подавить сильные эмоции у группы существ. Все гуманоиды в сфере с радиусом 20 футов с центром в точке, выбранной в пределах дистанции, должны совершить спасбросок Харизмы";"бард"
"5";"Усиление навыка [Skill empowerment]";"5 круг, преобразование";"1 действие";"Касание";"В, С";"Концентрация, вплоть до 1 часа";"Ваша магия углубляет понимание существом собственного таланта. Вы касаетесь одного согласного существа и наделяете его специальными познаниями в одном навыке по вашему выбору";"бард"
"1";"Усыпление [Sleep]";"1 круг, очарование";"1 действие";"90 футов";"В, С, М";"1 минута";"(щепотка мелкого песка, лепестки розы или сверчок)Это заклинание посылает существ в магический сон. Бросьте 5к8";"бард"
"5";"Фальшивый двойник  [Mislead]";"5 круг, иллюзия";"1 действие";"На себя";"В";"Концентрация, вплоть до 1 часа";"Вы становитесь невидимым, и в то же время в том месте, где вы были, появляется ваш иллюзорный двойник. Двойник существует, пока заклинание активно, но невидимость оканчивается, если вы атакуете или накладываете заклинание.<br>
Вы можете действием переместить своего иллюзорного двойника на расстояние, вдвое превышающее вашу скорость, и заставить его жестикулировать, говорить и вести себя так, как вам хочется. Вы можете видеть его глазами и слышать его ушами, как если бы вы находились там же, где он. В каждом своём ходу вы можете бонусным действием переключиться с его чувств на свои, или обратно. Пока вы используете его чувства, вы слепы и глухи для своего окружения.<br>";"бард"
